Date,Close
3/2/2015,228.22
3/3/2015,227.69
3/4/2015,227.67
3/5/2015,229.2
3/6/2015,224.6
3/9/2015,225.35
3/10/2015,220.85
3/11/2015,222.18
3/12/2015,225.08
3/13/2015,224.64
3/16/2015,229.54
3/17/2015,228.2
3/18/2015,228.94
3/19/2015,225.75
3/20/2015,229.94
3/23/2015,230.26
3/24/2015,228.4
3/25/2015,225.52
3/26/2015,226.05
3/27/2015,226.11
3/30/2015,229.14
3/31/2015,226.2
4/1/2015,222.71
4/2/2015,223.52
4/6/2015,224.43
4/7/2015,221.84
4/8/2015,222.49
4/9/2015,223.28
4/10/2015,224.34
4/13/2015,223.97
4/14/2015,226.01
4/15/2015,225.66
4/16/2015,226.57
4/17/2015,228.03
4/20/2015,229.23
4/21/2015,231.29
4/22/2015,231.27
4/23/2015,229.11
4/24/2015,229.2
4/27/2015,227.17
4/28/2015,228.52
4/29/2015,225.4
4/30/2015,223.4
5/1/2015,224.94
5/4/2015,225.9
5/5/2015,222.78
5/6/2015,222.9
5/7/2015,223.82
5/8/2015,229.08
5/11/2015,228.54
5/12/2015,229.55
5/13/2015,232.38
5/14/2015,239.48
5/15/2015,239.93
5/18/2015,242.75
5/19/2015,242.6
5/20/2015,241.8
5/21/2015,239.44
5/22/2015,240.61
5/26/2015,237.86
5/27/2015,239.2
5/28/2015,237.84
5/29/2015,237.23
6/1/2015,238.27
6/2/2015,236.62
6/3/2015,237.02
6/4/2015,234.72
6/5/2015,235.45
6/8/2015,233.42
6/9/2015,234
6/10/2015,235.95
6/11/2015,237.61
6/12/2015,235.12
6/15/2015,233.77
6/16/2015,234.44
6/17/2015,233.76
6/18/2015,236.04
6/19/2015,235.85
6/22/2015,235.76
6/23/2015,235.54
6/24/2015,230.53
6/25/2015,229.33
6/26/2015,227.92
6/29/2015,224.28
6/30/2015,224.81
7/1/2015,225.78
7/2/2015,224.26
7/6/2015,224.58
7/7/2015,228.23
7/8/2015,224.52
7/9/2015,226.9
7/10/2015,229.56
7/13/2015,231.43
7/14/2015,233.83
7/15/2015,234.44
7/16/2015,235.02
7/17/2015,234.46
7/20/2015,234.55
7/21/2015,232.49
7/22/2015,235.13
7/23/2015,229.48
7/24/2015,226.66
7/27/2015,224.76
7/28/2015,226.74
7/29/2015,226.85
7/30/2015,217.36
7/31/2015,220.57
8/3/2015,223.48
8/4/2015,222.91
8/5/2015,223.4
8/6/2015,218.39
8/7/2015,216.14
8/10/2015,217.34
8/11/2015,215.52
8/12/2015,215.18
8/13/2015,214.29
8/14/2015,215.28
8/17/2015,216.29
8/18/2015,215.51
8/19/2015,215.51
8/20/2015,210.49
8/21/2015,202.53
8/24/2015,197.8
8/25/2015,188.44
8/26/2015,197.89
8/27/2015,198.87
8/28/2015,200.8
8/31/2015,197.58
9/1/2015,195.78
9/2/2015,197
9/3/2015,194.97
9/4/2015,192.82
9/8/2015,195.39
9/9/2015,192.85
9/10/2015,195.11
9/11/2015,197.64
9/14/2015,196.61
9/15/2015,200.41
9/16/2015,204.24
9/17/2015,204.7
9/18/2015,203.73
9/21/2015,201.3
9/22/2015,198.98
9/23/2015,198.22
9/24/2015,197.24
9/25/2015,192.23
9/28/2015,184.26
9/29/2015,184.77
9/30/2015,185.03
10/1/2015,186.07
10/2/2015,186.54
10/5/2015,189.71
10/6/2015,184
10/7/2015,184.98
10/8/2015,186.29
10/9/2015,189.95
10/12/2015,190.61
10/13/2015,191.91
10/14/2015,189.78
10/15/2015,193.75
10/16/2015,195.21
10/19/2015,194.85
10/20/2015,189.33
10/21/2015,186.62
10/22/2015,181.44
10/23/2015,186.96
10/26/2015,189.54
10/27/2015,181.68
10/28/2015,182.41
10/29/2015,186.25
10/30/2015,178.8
11/2/2015,180.64
11/3/2015,183.37
11/4/2015,181.9
11/5/2015,185.94
